600004 白云机场 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2018/01/02	14.49	14.61	14.35	14.56	13127900	193508320.00
2018/01/03	14.60	14.60	14.41	14.56	15046954	222055584.00
2018/01/04	14.51	14.54	14.30	14.38	18563569	271737280.00
2018/01/05	14.36	14.43	14.24	14.33	11979532	174297472.00
2018/01/08	14.44	14.45	14.17	14.26	16492258	239516320.00
2018/01/09	14.22	14.79	14.13	14.78	21186005	312458528.00
2018/01/10	14.78	14.78	14.47	14.61	17674001	262194304.00
2018/01/11	14.44	14.69	14.44	14.45	10981364	162262896.00
2018/01/12	14.44	14.79	14.40	14.71	17402475	258716176.00
2018/01/15	14.66	15.35	14.59	15.16	33936533	520366304.00
2018/01/16	15.08	15.63	15.08	15.59	29974451	469740224.00
2018/01/17	15.56	15.66	15.14	15.44	18631368	290662784.00
2018/01/18	15.36	15.84	15.32	15.62	15433621	244845456.00
2018/01/19	15.62	15.81	15.39	15.52	14899530	236123312.00
2018/01/22	15.53	15.76	15.28	15.72	13056478	205710384.00
2018/01/23	15.66	16.31	15.66	16.25	19417939	317270208.00
2018/01/24	16.12	16.56	16.02	16.51	21905059	362896192.00
2018/01/25	16.42	16.42	15.94	16.20	15224843	250022128.00
2018/01/26	16.25	16.42	16.03	16.29	11883909	195677856.00
2018/01/29	16.28	16.40	15.93	16.24	19815000	324558176.00
2018/01/30	16.11	16.45	15.99	16.38	15204022	251955280.00
2018/01/31	16.17	16.76	16.05	16.66	16252045	271772672.00
2018/02/01	16.74	17.01	16.31	16.53	18814840	318455008.00
2018/02/02	16.34	17.06	15.85	16.98	20182601	337333248.00
2018/02/05	16.54	17.17	16.36	16.91	23345851	397108320.00
2018/02/06	16.31	16.64	15.93	15.96	29526124	484236640.00
2018/02/07	16.33	16.39	15.07	15.25	25909388	411557120.00
2018/02/08	15.26	15.55	14.86	15.13	15033867	231487872.00
2018/02/09	14.66	14.82	13.76	14.66	36118023	531787008.00
2018/02/12	14.66	15.24	14.59	15.08	12120357	184193680.00
2018/02/13	15.21	15.85	15.21	15.37	13573885	214452304.00
2018/02/14	15.55	15.85	15.24	15.69	10124497	160323904.00
2018/02/22	15.91	16.43	15.80	16.34	10427022	171275488.00
2018/02/23	16.41	16.41	15.97	16.25	9203697	151012544.00
2018/02/26	16.24	16.91	16.23	16.76	14437622	244010864.00
2018/02/27	16.81	16.93	16.36	16.41	8544690	143501264.00
2018/02/28	16.36	16.36	15.95	16.13	10039075	164408144.00
2018/03/01	16.06	16.28	16.00	16.12	5939912	97434464.00
2018/03/02	16.05	16.12	15.81	15.95	6348477	102907704.00
2018/03/05	15.88	16.17	15.87	15.93	5713811	92837112.00
2018/03/06	16.06	16.09	15.49	16.07	9920998	159088448.00
2018/03/07	16.08	16.11	15.64	15.73	7125420	114876216.00
2018/03/08	15.78	15.93	15.66	15.91	5373444	86146192.00
2018/03/09	15.93	16.19	15.91	16.06	8153400	132800624.00
2018/03/12	16.05	16.33	16.02	16.26	10818460	178065824.00
2018/03/13	16.21	16.34	15.86	15.89	8581168	139807568.00
2018/03/14	15.90	15.90	15.61	15.70	6317731	100719760.00
2018/03/15	15.67	15.91	15.63	15.75	4955745	79244960.00
2018/03/16	15.76	15.96	15.66	15.69	3977509	63719812.00
2018/03/19	15.66	15.66	15.46	15.58	5517563	87126240.00
2018/03/20	15.48	15.71	15.46	15.63	4136883	65497944.00
2018/03/21	15.63	15.75	15.57	15.59	5396018	85828472.00
2018/03/22	15.59	15.69	15.21	15.30	9583178	149391536.00
2018/03/23	14.77	15.14	14.64	14.99	12757897	193592672.00
2018/03/26	14.94	15.14	14.68	14.99	10683027	161363424.00
2018/03/27	15.12	15.49	15.12	15.37	9583308	149324768.00
2018/03/28	15.16	15.44	14.75	14.82	12360697	188992176.00
2018/03/29	14.84	15.26	14.58	15.19	10386270	157893136.00
2018/03/30	15.19	15.53	15.11	15.40	7111866	110773488.00
2018/04/02	15.37	15.44	14.96	15.00	6476907	100053096.00
2018/04/03	14.80	15.24	14.78	15.23	7213492	110248552.00
2018/04/04	15.23	15.41	15.18	15.22	9014096	140306464.00
2018/04/09	15.19	15.40	15.07	15.39	6797947	105670896.00
2018/04/10	15.48	15.85	15.39	15.78	12501555	199183792.00
2018/04/11	15.80	16.10	15.80	15.98	8091388	131052616.00
2018/04/12	15.96	16.10	15.85	16.02	9471382	153421424.00
2018/04/13	16.03	16.16	15.54	15.64	8533422	136843968.00
2018/04/16	15.60	15.86	15.19	15.40	8678436	136381616.00
2018/04/17	15.39	15.50	14.91	14.95	9924498	152980832.00
2018/04/18	15.10	15.16	14.66	14.98	10875651	164229584.00
2018/04/19	14.99	15.20	14.79	15.16	6337422	96992408.00
2018/04/20	15.19	15.21	14.86	14.99	7355295	112319840.00
2018/04/23	15.01	15.10	14.50	14.59	11594541	173696912.00
2018/04/24	14.60	15.08	14.60	14.94	10568021	159726064.00
2018/04/25	14.96	15.10	14.87	15.05	7213335	109963104.00
2018/04/26	15.06	15.11	14.74	14.89	6072588	91795824.00
2018/04/27	14.96	15.03	14.65	14.98	6985788	105378760.00
2018/05/02	14.99	15.19	14.81	15.15	8094412	123385176.00
2018/05/03	15.09	15.12	14.83	15.05	7160056	109111152.00
2018/05/04	14.99	15.09	14.80	14.86	6459884	98043216.00
2018/05/07	14.98	15.16	14.82	15.11	7909537	120724920.00
2018/05/08	15.15	15.53	15.14	15.52	12410996	193415840.00
2018/05/09	15.62	15.66	15.39	15.59	10179742	160435552.00
2018/05/10	15.61	16.09	15.61	16.01	13823910	222425824.00
2018/05/11	16.05	16.14	15.80	16.00	9804921	159032912.00
2018/05/14	15.98	16.14	15.60	15.81	14552064	233573104.00
2018/05/15	15.81	15.86	15.59	15.84	10436016	166659520.00
2018/05/16	15.76	15.93	15.66	15.71	9208918	147584800.00
2018/05/17	15.70	15.89	15.68	15.77	7712410	123707104.00
2018/05/18	15.71	15.82	15.50	15.76	7697640	122294288.00
2018/05/21	15.95	16.11	15.80	15.89	10001106	162124720.00
2018/05/22	15.94	15.96	15.72	15.74	5907950	94872896.00
2018/05/23	15.79	15.82	15.37	15.38	11428930	180180256.00
2018/05/24	15.38	15.49	15.29	15.31	6805532	106348264.00
2018/05/25	15.35	15.41	15.01	15.16	11218296	173285344.00
2018/05/28	15.21	15.65	15.11	15.64	11865296	185993936.00
2018/05/29	15.59	15.86	15.43	15.80	15653399	249699728.00
2018/05/30	15.64	15.93	15.48	15.62	13182173	209967456.00
2018/05/31	15.72	16.42	15.67	16.38	28507493	465006976.00
2018/06/01	16.28	16.48	16.04	16.32	17187486	283441824.00
2018/06/04	16.39	16.87	16.38	16.85	27746285	469179104.00
2018/06/05	16.91	17.26	16.76	17.10	17953255	310446272.00
2018/06/06	17.12	18.01	16.99	17.70	21760012	388037728.00
2018/06/07	17.70	17.85	17.26	17.54	16971877	301120416.00
2018/06/08	17.39	17.94	17.34	17.68	14414530	256880432.00
2018/06/11	17.52	17.74	17.31	17.45	10016082	177772032.00
2018/06/12	17.48	18.63	17.46	18.54	23069265	426146528.00
2018/06/13	18.27	18.53	18.20	18.38	17435073	324954592.00
2018/06/14	18.31	18.48	18.12	18.21	15158607	280047936.00
2018/06/15	18.21	18.45	17.86	18.24	9937148	182435664.00
2018/06/19	16.39	16.39	16.39	16.39	8716700	144958720.00
2018/06/20	14.73	14.73	14.73	14.73	18874200	282546784.00
2018/06/21	14.26	14.90	14.26	14.58	100450354	1491046016.00
2018/06/22	14.02	14.40	13.79	13.98	52171964	744277824.00
2018/06/25	14.03	14.18	13.81	13.97	28744848	409521248.00
2018/06/26	13.87	14.01	13.68	13.84	19480698	273868704.00
2018/06/27	13.84	14.06	13.36	13.37	19568457	273367328.00
2018/06/28	13.23	13.25	12.16	12.35	53828181	696810944.00
2018/06/29	12.50	13.00	12.42	12.85	28146764	364676608.00
2018/07/02	12.81	13.06	12.49	12.56	14340171	187753264.00
2018/07/03	12.76	13.21	12.53	13.14	26704991	351108320.00
2018/07/04	13.06	13.20	12.87	13.02	18434245	243983360.00
2018/07/05	12.96	13.09	12.62	12.69	14684639	191022720.00
2018/07/06	12.71	13.20	12.58	13.03	15927074	209779264.00
2018/07/09	13.06	13.86	12.97	13.71	15306820	210136768.00
2018/07/10	13.75	14.41	13.75	14.04	20118802	288483008.00
2018/07/11	13.89	14.06	13.67	13.97	13555191	190476688.00
2018/07/12	13.91	14.41	13.91	14.23	10706121	154860976.00
2018/07/13	14.33	14.58	14.10	14.29	13248257	189570544.00
2018/07/16	14.33	14.65	14.18	14.41	9579094	138476896.00
2018/07/17	14.30	14.50	14.17	14.29	10606705	151303472.00
2018/07/18	14.27	14.63	14.16	14.28	11766376	169574960.00
2018/07/19	14.29	14.33	13.97	14.17	11512674	162595376.00
2018/07/20	14.15	14.31	13.95	14.29	8397087	119112536.00
2018/07/23	14.20	14.55	14.20	14.28	9218536	132500496.00
2018/07/24	14.28	14.84	14.27	14.66	13774667	200108608.00
2018/07/25	14.60	14.62	14.36	14.38	10555414	152475824.00
2018/07/26	14.44	14.47	14.12	14.13	7764493	110904048.00
