600004 白云机场 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/04/28	1.83	2.43	1.81	2.43	187469932	1512258176.00
2003/04/29	2.28	2.41	2.15	2.28	75212876	635863424.00
2003/04/30	2.31	2.63	2.31	2.49	80122500	710063488.00
2003/05/12	2.40	2.50	2.17	2.39	36122300	308806272.00
2003/05/13	2.36	2.38	1.99	2.05	39277696	325715936.00
2003/05/14	1.99	2.28	1.95	2.20	30387370	253425344.00
2003/05/15	2.18	2.34	2.09	2.31	28183918	236834464.00
2003/05/16	2.31	2.39	2.20	2.32	36065125	307204544.00
2003/05/19	2.34	2.56	2.34	2.43	46250444	407544256.00
2003/05/20	2.43	2.47	2.31	2.39	17067564	147727680.00
2003/05/21	2.39	2.44	2.29	2.34	12859547	110939928.00
2003/05/22	2.33	2.41	2.28	2.37	10301282	88781120.00
2003/05/23	2.40	2.87	2.29	2.64	72926760	670902016.00
2003/05/26	2.63	2.80	2.63	2.66	46718180	431132448.00
2003/05/27	2.68	2.74	2.61	2.66	20188005	184901456.00
2003/05/28	2.69	2.74	2.56	2.58	33183174	302104864.00
2003/05/29	2.58	2.79	2.55	2.78	23025540	210900160.00
2003/05/30	2.79	2.88	2.69	2.71	26011735	244128624.00
2003/06/02	2.72	2.85	2.69	2.74	21582098	201804928.00
2003/06/03	2.75	2.79	2.67	2.68	13226726	122447232.00
2003/06/04	2.67	2.75	2.62	2.73	12237084	112488208.00
2003/06/05	2.70	2.74	2.63	2.66	12108703	110737200.00
2003/06/06	2.63	2.74	2.61	2.67	9715878	88911856.00
2003/06/09	2.63	2.69	2.62	2.64	6946622	63322600.00
2003/06/10	2.64	2.80	2.64	2.74	16954572	157420720.00
2003/06/11	2.75	2.85	2.72	2.80	13992361	131429944.00
2003/06/12	2.83	2.83	2.74	2.76	8916546	83354480.00
2003/06/13	2.78	2.83	2.74	2.76	6677204	62495500.00
2003/06/16	2.76	2.79	2.67	2.73	6645891	61435524.00
2003/06/17	2.70	2.73	2.66	2.68	5069464	46610784.00
2003/06/18	2.68	2.76	2.64	2.65	6074105	55781136.00
