600006 东风汽车 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1999/07/27	1.52	1.54	1.28	1.31	107249700	734412608.00
1999/07/28	1.31	1.41	1.31	1.36	32242300	220726144.00
1999/07/29	1.44	1.44	1.32	1.35	13575900	92844624.00
1999/07/30	1.35	1.37	1.31	1.32	7753200	52278576.00
1999/08/02	1.32	1.37	1.32	1.33	6593000	44700788.00
1999/08/03	1.34	1.35	1.28	1.30	9514900	63470828.00
1999/08/04	1.31	1.35	1.29	1.33	8469400	56958080.00
1999/08/05	1.33	1.41	1.33	1.38	14603500	100529352.00
1999/08/06	1.38	1.45	1.30	1.41	14542600	99815040.00
1999/08/09	1.41	1.44	1.37	1.39	10283800	71431960.00
1999/08/10	1.38	1.44	1.35	1.35	6168800	42527164.00
1999/08/11	1.34	1.35	1.30	1.30	4005600	26993908.00
1999/08/12	1.30	1.35	1.30	1.31	2367300	15903073.00
1999/08/13	1.33	1.36	1.32	1.34	2820200	19155122.00
1999/08/16	1.35	1.35	1.31	1.33	1864500	12594117.00
1999/08/17	1.34	1.38	1.33	1.33	3666200	24966820.00
1999/08/18	1.34	1.35	1.28	1.33	2824700	18905448.00
1999/08/19	1.41	1.41	1.35	1.37	7660700	52617520.00
1999/08/20	1.39	1.39	1.33	1.33	5523700	37813960.00
1999/08/23	1.33	1.36	1.31	1.33	3280100	22227296.00
1999/08/24	1.34	1.38	1.34	1.35	4586300	31246366.00
1999/08/25	1.35	1.41	1.34	1.36	7471100	51272476.00
1999/08/26	1.36	1.48	1.36	1.44	17541100	123073840.00
1999/08/27	1.45	1.46	1.41	1.42	7491900	52548724.00
1999/08/30	1.42	1.44	1.40	1.40	4711800	32907250.00
1999/08/31	1.41	1.43	1.39	1.42	4594100	32023584.00
1999/09/01	1.42	1.42	1.35	1.35	2762300	19051146.00
1999/09/02	1.35	1.40	1.34	1.38	3167000	21736048.00
1999/09/03	1.38	1.39	1.31	1.32	2259700	15392321.00
1999/09/06	1.32	1.36	1.31	1.33	1581200	10716037.00
1999/09/07	1.33	1.37	1.31	1.33	1491400	10096081.00
1999/09/08	1.35	1.37	1.33	1.34	1402600	9565830.00
1999/09/09	1.38	1.47	1.38	1.46	15861100	111593920.00
1999/09/10	1.48	1.60	1.45	1.50	24409400	177534960.00
1999/09/13	1.52	1.59	1.51	1.53	7229500	52918788.00
1999/09/14	1.54	1.56	1.46	1.49	6215600	44874080.00
1999/09/15	1.50	1.53	1.48	1.50	4761600	34319440.00
