600007 中国国贸 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1999/03/12	1.76	1.85	1.61	1.64	55675300	329260320.00
1999/03/15	1.62	1.72	1.52	1.67	14449600	84195928.00
1999/03/16	1.68	2.13	1.62	2.03	33196100	207144592.00
1999/03/17	2.04	2.15	2.00	2.03	23754800	151684672.00
1999/03/18	2.05	2.13	1.91	1.97	13184000	83092400.00
1999/03/19	1.96	2.31	1.87	2.26	20101300	129390344.00
1999/03/22	2.29	2.36	2.19	2.27	19180800	127824472.00
1999/03/23	2.27	2.28	2.14	2.25	7967900	52248480.00
1999/03/24	2.25	2.31	2.16	2.22	6567600	43071752.00
1999/03/25	2.16	2.20	2.01	2.03	7339700	46904448.00
1999/03/26	2.01	2.08	1.97	2.05	4724100	29869372.00
1999/03/29	2.02	2.12	1.98	2.07	3720900	23630896.00
1999/03/30	2.06	2.07	1.90	1.93	4073900	25552532.00
1999/03/31	1.93	2.04	1.90	2.00	3191000	19937842.00
1999/04/01	2.01	2.01	1.92	1.95	2951800	18389296.00
1999/04/02	1.95	2.09	1.89	2.02	4146200	26131786.00
1999/04/05	2.05	2.23	2.01	2.16	5893700	38085344.00
1999/04/06	2.17	2.21	2.08	2.12	3529900	22835236.00
1999/04/07	2.12	2.17	2.05	2.09	3295400	21190360.00
1999/04/08	2.09	2.22	2.05	2.09	4093400	26397416.00
1999/04/09	2.09	2.14	2.00	2.03	3771500	24075132.00
1999/04/12	2.06	2.20	1.97	2.10	6142300	39318360.00
1999/04/13	2.10	2.54	2.09	2.29	19159100	129670864.00
1999/04/14	2.29	2.35	2.21	2.25	4653400	30871196.00
1999/04/15	2.30	2.56	2.26	2.45	17080800	116776200.00
1999/04/16	2.48	2.60	2.40	2.51	14930200	103441128.00
1999/04/19	2.52	2.53	2.24	2.30	9103400	61615800.00
1999/04/20	2.29	2.38	2.22	2.37	5309800	35320288.00
1999/04/21	2.37	2.38	2.11	2.14	5455000	35887608.00
1999/04/22	2.08	2.17	1.99	2.06	5061100	32428122.00
1999/04/23	2.08	2.16	2.04	2.11	2727600	17518760.00
1999/04/26	2.11	2.11	1.92	1.93	3934600	24773504.00
1999/04/27	1.92	2.19	1.88	1.99	2820800	17760112.00
1999/04/28	1.99	2.13	1.93	1.98	1898300	12003128.00
1999/04/29	1.98	2.10	1.93	2.05	1595400	10122223.00
1999/04/30	2.06	2.09	1.97	2.04	1651600	10467811.00
1999/05/04	2.00	2.06	1.96	1.97	1124100	7086643.00
1999/05/05	1.97	2.06	1.97	2.03	1098600	6937606.00
1999/05/06	2.04	2.16	2.02	2.07	1443700	9255699.00
1999/05/07	2.07	2.09	1.90	1.94	3388000	21207354.00
1999/05/10	1.88	1.89	1.68	1.71	4695800	28259332.00
1999/05/11	1.71	1.88	1.71	1.80	1729100	10407402.00
1999/05/13	1.80	1.81	1.63	1.66	2169600	12781107.00
1999/05/14	1.66	1.67	1.44	1.48	3870500	22037068.00
1999/05/17	1.45	1.56	1.34	1.45	1649700	9216377.00
1999/05/18	1.44	1.69	1.44	1.53	3212200	18709316.00
1999/05/19	1.54	1.73	1.49	1.72	2774300	16275083.00
1999/05/20	1.76	1.83	1.65	1.82	4192800	25133002.00
1999/05/21	1.84	1.88	1.70	1.78	4859900	29256212.00
1999/05/24	1.78	2.06	1.65	1.99	7178000	44261400.00
