600008 首创股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/04/27	2.22	2.32	1.83	2.11	68952700	1180499328.00
2000/04/28	2.03	2.44	1.99	2.44	30937700	568577024.00
2000/05/08	2.81	2.81	2.73	2.81	16384200	345124352.00
2000/05/09	2.91	3.20	2.74	2.88	42558600	925299968.00
2000/05/10	2.86	3.08	2.70	2.93	19024000	412297824.00
2000/05/11	2.90	2.92	2.51	2.56	21116200	428458688.00
2000/05/12	2.54	2.78	2.54	2.64	9175300	186144720.00
2000/05/15	2.64	2.64	2.44	2.51	5125100	100497656.00
2000/05/16	2.51	2.64	2.45	2.56	3812400	75003440.00
2000/05/17	2.56	2.64	2.52	2.53	3730900	74310504.00
2000/05/18	2.52	2.68	2.46	2.62	5475600	109020184.00
2000/05/19	2.62	2.78	2.58	2.68	6659800	136445760.00
2000/05/22	2.70	2.84	2.66	2.84	6258000	129747808.00
2000/05/23	2.89	2.91	2.72	2.79	5574200	117065304.00
2000/05/24	2.77	2.85	2.74	2.78	5230600	109747224.00
2000/05/25	2.78	2.85	2.71	2.76	5116200	106195368.00
2000/05/26	2.76	2.76	2.67	2.68	4333700	88879016.00
2000/05/29	2.68	2.76	2.60	2.70	3693500	75033296.00
2000/05/30	2.71	2.74	2.60	2.62	3852300	77730112.00
2000/05/31	2.60	2.69	2.56	2.61	2386100	47942352.00
2000/06/01	2.61	2.68	2.60	2.62	2053500	41350620.00
2000/06/02	2.63	2.66	2.56	2.60	3140800	62712320.00
2000/06/05	2.60	2.62	2.52	2.54	3303100	65165372.00
2000/06/06	2.56	2.92	2.54	2.92	8587700	183073376.00
2000/06/07	3.17	3.24	2.95	2.98	15088200	339519680.00
2000/06/08	2.97	2.98	2.79	2.85	5338600	114164768.00
2000/06/09	2.83	2.93	2.74	2.76	3370300	71278200.00
2000/06/12	2.73	3.11	2.70	3.03	6772600	148436448.00
2000/06/13	3.03	3.07	2.96	3.00	4627100	102532016.00
2000/06/14	3.01	3.10	2.92	2.94	3528300	77894560.00
2000/06/15	2.92	3.08	2.92	3.00	2863700	63211760.00
2000/06/16	3.02	3.16	2.93	2.95	3604500	80346160.00
2000/06/19	2.93	2.98	2.89	2.90	2051100	44597900.00
2000/06/20	2.89	2.93	2.83	2.84	1810000	38839616.00
2000/06/21	2.87	3.06	2.85	2.97	2967700	64943812.00
2000/06/22	2.98	3.06	2.95	2.95	2742600	60512288.00
2000/06/23	3.06	3.18	2.99	3.07	4989600	112947776.00
2000/06/26	3.10	3.20	3.02	3.14	5300900	120545224.00
2000/06/27	3.15	3.16	3.01	3.03	2933800	65753304.00
2000/06/28	3.08	3.11	3.02	3.04	1639800	36691928.00
2000/06/29	3.04	3.05	2.96	3.02	2266300	49921788.00
2000/06/30	3.00	3.02	2.95	2.96	1664600	36512620.00
2000/07/03	2.91	2.95	2.85	2.86	2059800	44276664.00
2000/07/04	2.85	2.93	2.83	2.92	1401500	29939948.00
2000/07/05	2.92	2.92	2.83	2.85	1474700	31423504.00
2000/07/06	2.78	2.87	2.78	2.85	1272800	26958008.00
2000/07/07	2.85	2.93	2.83	2.92	751700	16169216.00
2000/07/10	2.92	2.92	2.82	2.84	1726200	36692752.00
2000/07/11	2.83	2.95	2.79	2.92	1563900	33294008.00
2000/07/12	2.91	2.98	2.84	2.94	1442500	31238000.00
2000/07/13	2.94	3.35	2.92	3.13	8863500	201449824.00
2000/07/14	3.12	3.14	2.97	3.01	3126300	69610952.00
2000/07/17	3.06	3.08	2.94	2.94	1654200	36445228.00
2000/07/18	2.94	3.08	2.94	2.98	845000	18609858.00
2000/07/19	2.99	3.02	2.92	2.92	1159700	25293132.00
2000/07/20	2.91	2.95	2.90	2.93	994000	21530120.00
2000/07/21	2.93	2.99	2.91	2.94	720800	15695035.00
2000/07/24	2.95	2.95	2.87	2.87	1007400	21652754.00
2000/07/25	2.87	2.93	2.87	2.88	770100	16539312.00
2000/07/26	2.89	3.03	2.89	2.95	1222400	26778972.00
2000/07/27	2.99	3.02	2.92	2.93	818200	17867658.00
2000/07/28	2.94	2.98	2.87	2.88	1357500	29284112.00
2000/07/31	2.87	2.93	2.85	2.90	1302300	27878068.00
2000/08/01	2.90	2.97	2.83	2.86	701200	15015377.00
2000/08/02	2.88	2.91	2.84	2.87	812700	17344692.00
2000/08/03	2.91	3.02	2.85	2.99	1795900	39003012.00
2000/08/04	2.99	3.09	2.97	2.99	3617900	80495496.00
2000/08/07	3.03	3.07	2.98	3.05	1449800	32189168.00
2000/08/08	3.03	3.06	2.96	2.98	1287000	28378896.00
2000/08/09	2.98	3.06	2.94	3.04	1772300	39190304.00
2000/08/10	3.05	3.22	3.02	3.11	5408900	123233128.00
2000/08/11	3.12	3.14	2.99	3.01	1715100	38294852.00
2000/08/14	3.00	3.06	2.99	3.02	1040500	23033676.00
2000/08/15	3.02	3.12	2.99	3.12	1326700	29597842.00
2000/08/16	3.11	3.27	3.09	3.14	4737100	109335856.00
2000/08/17	3.12	3.19	3.08	3.14	1522400	34614584.00
2000/08/18	3.14	3.24	3.14	3.16	2676900	61796136.00
2000/08/21	3.18	3.42	3.17	3.39	6377900	150714208.00
2000/08/22	3.39	3.52	3.25	3.25	7475900	180850576.00
2000/08/23	3.22	3.44	3.06	3.37	8806300	205534864.00
2000/08/24	3.44	3.51	3.29	3.41	5183300	125926128.00
2000/08/25	3.41	3.46	3.32	3.39	3377600	81062616.00
2000/08/28	3.39	3.43	3.34	3.37	2143800	51486676.00
2000/08/29	3.37	3.67	3.37	3.60	6111100	152649200.00
2000/08/30	3.58	3.64	3.47	3.48	3841500	95472336.00
2000/08/31	3.45	3.47	3.31	3.33	4944700	118991784.00
2000/09/01	3.28	3.33	3.18	3.21	3399100	79743024.00
2000/09/04	3.18	3.32	3.18	3.32	2329100	54721616.00
2000/09/05	3.32	3.33	3.15	3.18	1708900	39792848.00
2000/09/06	3.16	3.18	3.01	3.01	3210100	72449472.00
2000/09/07	3.01	3.18	3.01	3.08	1402900	31519960.00
2000/09/08	3.08	3.13	3.06	3.08	943800	21275830.00
2000/09/11	3.08	3.15	3.04	3.14	685600	15493801.00
2000/09/12	3.13	3.17	3.09	3.12	638100	14494835.00
2000/09/13	3.10	3.18	3.09	3.12	942700	21475068.00
2000/09/14	3.12	3.16	3.07	3.08	912000	20656844.00
2000/09/15	3.08	3.14	3.01	3.02	1261700	28087212.00
2000/09/18	3.02	3.08	2.92	2.93	1279700	28203220.00
2000/09/19	2.91	2.91	2.79	2.80	1581500	33456244.00
2000/09/20	2.79	2.91	2.77	2.91	995900	21062780.00
2000/09/21	2.89	2.89	2.80	2.81	504200	10671955.00
2000/09/22	2.80	2.81	2.78	2.79	630300	13240478.00
2000/09/26	2.79	2.95	2.79	2.91	452200	9580127.00
2000/09/27	2.89	2.89	2.81	2.87	448100	9564696.00
2000/09/28	2.83	2.91	2.79	2.80	706700	14963321.00
2000/09/29	2.79	2.84	2.72	2.78	1274700	26663394.00
2000/10/09	2.79	2.79	2.63	2.65	1122800	22906260.00
2000/10/10	2.65	2.74	2.64	2.70	891600	18260806.00
2000/10/11	2.65	2.99	2.60	2.83	4997300	104759728.00
2000/10/12	2.79	2.87	2.72	2.73	1605500	33609008.00
2000/10/13	2.73	2.77	2.66	2.71	1069400	21941112.00
2000/10/16	2.68	2.71	2.64	2.71	797800	16199828.00
2000/10/17	2.70	2.71	2.64	2.67	506900	10321174.00
2000/10/18	2.67	2.79	2.65	2.77	1057000	21821656.00
2000/10/19	2.77	2.79	2.66	2.68	864100	17657660.00
2000/10/20	2.69	2.86	2.64	2.82	2081400	43693392.00
2000/10/23	2.85	2.85	2.77	2.82	1055000	22221066.00
2000/10/24	2.82	2.86	2.79	2.85	986100	20888874.00
2000/10/25	2.86	2.98	2.86	2.88	2179600	47178724.00
2000/10/26	2.89	2.90	2.85	2.87	787000	16802136.00
2000/10/27	2.87	2.88	2.75	2.77	2008200	42053584.00
2000/10/30	2.77	2.79	2.70	2.77	1392100	28955202.00
2000/10/31	2.75	2.79	2.73	2.75	621500	12913194.00
2000/11/01	2.76	2.79	2.73	2.76	986000	20464592.00
2000/11/02	2.77	2.78	2.73	2.74	1466100	30449656.00
2000/11/03	2.74	2.87	2.74	2.83	1604100	33988376.00
2000/11/06	2.83	2.85	2.77	2.81	914100	19264844.00
2000/11/07	2.83	2.88	2.79	2.83	1471200	31125322.00
2000/11/08	2.84	2.96	2.83	2.93	2710000	58560172.00
2000/11/09	2.94	2.96	2.89	2.93	2077400	45014192.00
2000/11/10	2.95	3.06	2.93	2.96	2897500	63731076.00
2000/11/13	2.98	3.12	2.98	3.05	3767400	84378272.00
2000/11/14	3.08	3.09	2.99	3.06	1614400	35917416.00
2000/11/15	3.06	3.06	2.99	3.01	1543800	34233840.00
2000/11/16	3.01	3.05	2.95	2.97	1704900	37480552.00
2000/11/17	2.99	3.06	2.97	3.06	1533900	33960416.00
2000/11/20	3.08	3.08	2.97	2.99	1171300	25849392.00
2000/11/21	2.99	3.06	2.98	3.00	1560500	34550232.00
2000/11/22	3.02	3.21	3.01	3.12	2266100	51498028.00
2000/11/23	3.18	3.18	3.06	3.09	1222000	27699580.00
2000/11/24	3.08	3.12	2.89	2.92	2101200	46299156.00
2000/11/27	2.89	2.92	2.84	2.87	1203800	25739248.00
2000/11/28	2.87	2.93	2.87	2.89	674000	14492602.00
2000/11/29	2.91	2.91	2.82	2.84	918900	19584842.00
2000/11/30	2.82	2.85	2.79	2.82	775900	16408157.00
2000/12/01	2.83	2.96	2.82	2.90	1352300	29102516.00
2000/12/04	2.91	2.93	2.85	2.89	621200	13309737.00
2000/12/05	2.89	2.92	2.82	2.85	901300	19181372.00
2000/12/06	2.85	2.89	2.80	2.81	1083000	22974524.00
2000/12/07	2.77	2.83	2.77	2.80	853200	17934956.00
2000/12/08	2.80	2.82	2.76	2.77	1062000	22256316.00
2000/12/11	2.77	2.77	2.70	2.72	912400	18819386.00
2000/12/12	2.74	2.79	2.72	2.77	624900	13015185.00
2000/12/13	2.79	2.84	2.76	2.77	763800	16011739.00
2000/12/14	2.77	2.81	2.74	2.74	455000	9462128.00
2000/12/15	2.77	2.88	2.49	2.86	1170100	24525252.00
2000/12/18	2.83	3.00	2.82	2.94	2157000	46801776.00
2000/12/19	2.95	2.97	2.87	2.92	847600	18339572.00
2000/12/20	2.94	2.94	2.87	2.92	1034600	22347806.00
2000/12/21	2.97	3.04	2.91	2.93	1862700	41095560.00
2000/12/22	2.95	3.02	2.93	2.97	1091500	23938384.00
2000/12/25	2.96	3.05	2.95	2.98	1149200	25330004.00
2000/12/26	2.98	3.02	2.93	2.96	674600	14759637.00
2000/12/27	2.96	2.98	2.80	2.85	1045100	22537956.00
2000/12/28	2.85	2.93	2.85	2.91	811200	17404228.00
