600009 上海机场 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1998/02/18	-0.04	0.08	-0.51	-0.44	133356100	1267012864.00
1998/02/19	-0.47	-0.47	-0.66	-0.55	31182200	272106976.00
1998/02/20	-0.55	-0.43	-0.61	-0.52	15578600	138011056.00
1998/02/23	-0.54	-0.36	-0.55	-0.41	17831000	161653360.00
1998/02/24	-0.39	-0.39	-0.54	-0.51	11437700	102987720.00
1998/02/25	-0.52	-0.47	-0.57	-0.49	7138000	63259020.00
1998/02/26	-0.47	-0.40	-0.51	-0.46	6787500	61395172.00
1998/02/27	-0.44	-0.41	-0.51	-0.48	5430200	48942852.00
1998/03/02	-0.52	-0.45	-0.59	-0.56	6495200	57346240.00
1998/03/03	-0.55	-0.47	-0.56	-0.51	4353100	38641016.00
1998/03/04	-0.47	-0.26	-0.51	-0.33	21731600	201578752.00
1998/03/05	-0.33	-0.27	-0.36	-0.31	10391600	97034504.00
1998/03/06	-0.30	-0.14	-0.31	-0.19	21915900	210571136.00
1998/03/09	-0.14	-0.12	-0.24	-0.21	12887800	124292320.00
1998/03/10	-0.23	-0.22	-0.34	-0.28	10041500	94512632.00
1998/03/11	-0.28	-0.27	-0.37	-0.35	7815600	73014936.00
1998/03/12	-0.35	-0.23	-0.36	-0.29	5831800	54575684.00
1998/03/13	-0.30	-0.26	-0.33	-0.31	3339800	31407188.00
1998/03/16	-0.29	-0.22	-0.35	-0.26	5612000	52740284.00
1998/03/17	-0.22	-0.04	-0.26	-0.09	25701500	252888032.00
1998/03/18	-0.08	-0.06	-0.21	-0.18	9174200	89849472.00
1998/03/19	-0.19	0.01	-0.20	-0.08	15926100	158721760.00
1998/03/20	-0.08	0.04	-0.10	0.02	12313600	123735880.00
1998/03/23	0.02	0.14	0.00	0.08	15080300	155218960.00
1998/03/24	0.08	0.10	0.00	0.05	9492300	96868456.00
1998/03/25	0.10	0.12	-0.05	-0.04	11845100	119604232.00
1998/03/26	-0.04	0.02	-0.08	-0.07	7587100	75793248.00
1998/03/27	-0.07	0.13	-0.10	0.12	15572900	158096608.00
1998/03/30	0.12	0.12	-0.01	0.02	9341200	95195776.00
1998/03/31	0.02	0.03	-0.04	-0.04	8888200	89316264.00
1998/04/01	-0.01	0.17	-0.04	0.05	8716000	88853536.00
