600011 华能国际 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2001/12/06	1.26	1.56	1.26	1.40	123438100	1684639232.00
2001/12/07	1.38	1.41	1.16	1.19	21226600	284941984.00
2001/12/10	1.16	1.26	1.06	1.22	11154100	145102144.00
2001/12/11	1.19	1.26	1.13	1.13	5654100	74127608.00
2001/12/12	1.11	1.43	1.10	1.33	18886100	254419520.00
2001/12/13	1.31	1.38	1.26	1.30	5719600	76988192.00
2001/12/14	1.27	1.37	1.26	1.27	3588100	48141408.00
2001/12/17	1.30	1.36	1.26	1.27	2935500	39365224.00
2001/12/18	1.26	1.30	1.11	1.21	7393500	96591648.00
2001/12/19	1.21	1.24	1.12	1.15	3267700	42651832.00
2001/12/20	1.11	1.12	0.93	0.96	7445700	93776200.00
2001/12/21	0.92	0.99	0.87	0.97	3083400	38183000.00
2001/12/24	0.92	0.96	0.80	0.87	4534200	55657808.00
2001/12/25	0.87	0.98	0.84	0.92	3351600	41584044.00
2001/12/26	0.88	1.06	0.88	0.96	3566700	44719248.00
2001/12/27	0.99	1.04	0.94	0.96	3720900	46725484.00
2001/12/28	0.96	0.99	0.89	0.96	2142800	26678028.00
2001/12/31	0.98	1.05	0.96	0.98	2109900	26631836.00
2002/01/04	0.98	0.98	0.82	0.85	1922100	23600214.00
2002/01/07	0.84	0.88	0.80	0.86	1328200	16136023.00
2002/01/08	0.86	0.91	0.82	0.82	1042400	12783145.00
2002/01/09	0.81	0.84	0.69	0.73	2066700	24735268.00
2002/01/10	0.69	0.84	0.57	0.80	3313700	38863524.00
2002/01/11	0.78	0.79	0.58	0.58	2739000	32258152.00
2002/01/14	0.53	0.58	0.45	0.49	2764000	31313460.00
2002/01/15	0.45	0.68	0.45	0.52	3424400	39158236.00
2002/01/16	0.52	0.65	0.45	0.61	2830200	32501508.00
2002/01/17	0.59	0.62	0.49	0.51	2558600	29213158.00
2002/01/18	0.48	0.76	0.45	0.61	5675100	66055248.00
2002/01/21	0.65	0.70	0.56	0.63	3142800	36496712.00
2002/01/22	0.61	0.76	0.59	0.68	3163300	37246384.00
2002/01/23	0.71	1.00	0.65	0.95	6359300	77314680.00
2002/01/24	0.95	1.09	0.77	0.97	9668600	121114944.00
2002/01/25	0.96	0.99	0.90	0.92	3145000	39162760.00
2002/01/28	0.88	0.91	0.56	0.57	5566400	66214120.00
2002/01/29	0.46	0.73	0.46	0.71	2695600	31564416.00
2002/01/30	0.69	0.75	0.65	0.66	1632500	19295664.00
2002/01/31	0.73	1.07	0.73	0.93	7924500	98754192.00
2002/02/01	0.95	1.00	0.88	0.89	3339900	41444440.00
2002/02/04	0.95	1.10	0.91	1.05	4772600	60707568.00
2002/02/05	1.04	1.07	1.00	1.04	2621800	33342224.00
2002/02/06	1.05	1.05	0.92	0.94	2379400	29855784.00
2002/02/07	0.94	1.11	0.94	1.03	4285800	54791936.00
2002/02/08	1.07	1.14	1.05	1.05	3239500	41747368.00
2002/02/25	1.18	1.23	1.07	1.13	4979700	64638180.00
2002/02/26	1.12	1.14	1.06	1.12	2200200	28300932.00
2002/02/27	1.11	1.21	1.10	1.14	1765400	23007024.00
2002/02/28	1.14	1.21	1.11	1.16	2557900	33314484.00
2002/03/01	1.12	1.12	0.99	1.00	2798000	35841016.00
2002/03/04	0.96	1.13	0.95	1.12	2101500	26957620.00
2002/03/05	1.11	1.24	1.11	1.18	5396000	70806880.00
2002/03/06	1.19	1.28	1.16	1.17	4783300	63163596.00
2002/03/07	1.19	1.30	1.18	1.29	4648900	61746656.00
2002/03/08	1.30	1.36	1.23	1.30	5766200	77202600.00
2002/03/11	1.33	1.51	1.30	1.47	11772900	161676032.00
