600012 皖通高速 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/01/07	0.06	0.39	-0.01	0.17	148778282	649435008.00
2003/01/08	0.12	0.53	0.08	0.53	69001550	306829504.00
2003/01/09	0.67	0.93	0.57	0.93	128392519	661450112.00
2003/01/10	0.93	1.35	0.86	0.96	110100169	598121472.00
2003/01/13	0.89	1.03	0.73	0.84	52827777	273708064.00
2003/01/14	0.84	1.18	0.77	0.98	80150160	425395584.00
2003/01/15	0.96	1.13	0.88	1.04	56097108	300671648.00
2003/01/16	1.10	1.26	1.03	1.10	42443065	231578096.00
2003/01/17	1.12	1.13	0.93	0.94	26191152	139620880.00
2003/01/20	0.89	1.06	0.87	0.98	20419468	107891000.00
2003/01/21	0.98	0.99	0.81	0.81	18944697	98065896.00
2003/01/22	0.77	0.85	0.76	0.79	12304737	62722896.00
2003/01/23	0.82	0.91	0.79	0.83	11612541	59745620.00
2003/01/24	0.83	1.08	0.83	0.99	28350937	150181696.00
2003/01/27	0.98	1.01	0.93	0.98	12178382	64457248.00
2003/01/28	0.98	1.02	0.89	0.98	10422162	54981472.00
2003/01/29	0.97	1.10	0.96	1.01	23489439	126773168.00
2003/02/10	1.00	1.01	0.93	0.93	6499302	34267968.00
2003/02/11	0.90	1.01	0.90	1.00	5783141	30576328.00
2003/02/12	0.98	1.34	0.95	1.14	30148437	167006576.00
2003/02/13	1.13	1.21	1.08	1.08	15849933	86958904.00
2003/02/14	1.07	1.21	1.06	1.13	11418300	62700560.00
2003/02/17	1.13	1.17	1.02	1.04	10469614	56642172.00
2003/02/18	1.03	1.11	1.00	1.05	6628586	35700276.00
2003/02/19	1.06	1.13	1.03	1.11	9984274	54360280.00
2003/02/20	1.12	1.16	1.07	1.08	6158662	33557404.00
2003/02/21	1.07	1.08	0.94	0.95	14023613	74537176.00
2003/02/24	0.94	0.99	0.93	0.96	5196442	27464992.00
2003/02/25	0.96	1.08	0.95	1.03	7290800	39122320.00
2003/02/26	1.03	1.08	1.00	1.01	4707379	25263140.00
2003/02/27	1.01	1.07	0.99	1.01	5433336	29126256.00
2003/02/28	1.01	1.04	0.95	0.98	4170738	22154508.00
2003/03/03	0.98	1.04	0.98	1.04	4444317	23738860.00
2003/03/04	1.04	1.11	1.01	1.04	7875323	42581644.00
2003/03/05	1.04	1.06	0.97	0.98	5455098	29057544.00
2003/03/06	0.98	1.00	0.88	0.89	7666327	40111760.00
2003/03/07	0.89	0.93	0.85	0.86	6222277	32298036.00
2003/03/10	0.86	0.89	0.77	0.77	6262881	31940436.00
2003/03/11	0.76	0.80	0.74	0.77	5027643	25410542.00
2003/03/12	0.75	0.79	0.64	0.73	7746286	38432500.00
2003/03/13	0.72	0.75	0.62	0.63	5243700	25991402.00
2003/03/14	0.63	0.68	0.62	0.63	4641032	22772924.00
2003/03/17	0.63	0.72	0.61	0.70	4625892	22782836.00
2003/03/18	0.70	0.75	0.64	0.64	4760823	23668850.00
2003/03/19	0.63	0.73	0.59	0.69	6407496	31522352.00
2003/03/20	0.67	0.73	0.67	0.68	3411786	16948412.00
2003/03/21	0.71	0.74	0.68	0.72	3116164	15553524.00
2003/03/24	0.74	0.75	0.69	0.75	2477441	12386173.00
2003/03/25	0.73	0.73	0.64	0.64	3391026	16795420.00
2003/03/26	0.63	0.68	0.60	0.63	2062109	10074008.00
2003/03/27	0.63	0.89	0.60	0.80	12272994	62207408.00
2003/03/28	0.81	0.93	0.78	0.83	14161112	73212712.00
2003/03/31	0.80	0.98	0.80	0.94	14102340	74080016.00
2003/04/01	0.94	1.06	0.91	1.00	13723032	72815104.00
2003/04/02	1.01	1.05	0.96	0.99	6961452	37041236.00
2003/04/03	0.99	1.06	0.93	0.94	8180124	43400144.00
2003/04/04	0.90	0.99	0.90	0.98	4361659	23020248.00
2003/04/07	0.98	1.08	0.98	1.03	16852320	90782792.00
2003/04/08	1.02	1.18	1.00	1.14	22960417	125430752.00
2003/04/09	1.14	1.54	1.13	1.43	35149100	200080912.00
2003/04/10	1.42	1.52	1.27	1.33	27608368	160092256.00
2003/04/11	1.33	1.50	1.28	1.48	26327310	153441168.00
2003/04/14	1.52	1.75	1.48	1.58	27807208	168025088.00
2003/04/15	1.56	1.63	1.46	1.53	15747674	93900392.00
2003/04/16	1.53	1.59	1.31	1.36	22188264	129502464.00
2003/04/17	1.36	1.53	1.35	1.41	12253402	71636312.00
2003/04/18	1.40	1.46	1.22	1.24	9597034	54472512.00
2003/04/21	1.23	1.23	1.13	1.18	10258773	56556848.00
2003/04/22	1.18	1.23	1.15	1.18	3316995	18388604.00
2003/04/23	1.14	1.21	1.03	1.07	6621376	35939520.00
2003/04/24	1.13	1.13	0.81	0.88	9158166	47774356.00
2003/04/25	0.88	0.93	0.83	0.87	5235675	27168546.00
2003/04/28	0.83	1.22	0.78	1.13	9470896	50441732.00
2003/04/29	1.08	1.09	0.96	0.96	7541600	40359328.00
2003/04/30	0.96	1.10	0.93	1.02	5077100	27187560.00
2003/05/12	0.98	1.04	0.89	0.98	5344100	28248288.00
2003/05/13	0.98	1.02	0.71	0.78	13671033	69535728.00
2003/05/14	0.78	0.89	0.73	0.86	4575052	23439736.00
2003/05/15	0.88	1.02	0.79	1.00	8538454	44890840.00
2003/05/16	1.00	1.12	0.96	1.08	11645115	62601856.00
2003/05/19	1.10	1.11	0.99	1.04	5404303	29062232.00
2003/05/20	1.02	1.04	0.98	1.02	4196219	22419488.00
2003/05/21	1.03	1.08	0.93	0.95	3407568	18154324.00
2003/05/22	0.95	0.97	0.86	0.96	2748946	14383815.00
2003/05/23	0.96	1.13	0.93	1.04	9186728	49543836.00
2003/05/26	1.08	1.49	1.07	1.49	60719512	352850112.00
2003/05/27	1.54	1.58	1.44	1.49	38293503	227494784.00
2003/05/28	1.49	1.49	1.28	1.29	20299058	116864176.00
2003/05/29	1.28	1.41	1.21	1.40	14454960	82221200.00
2003/05/30	1.39	1.48	1.33	1.34	13806949	80223088.00
2003/06/02	1.36	1.46	1.25	1.42	9216824	52989976.00
2003/06/03	1.42	1.44	1.30	1.33	5764918	33216876.00
2003/06/04	1.30	1.43	1.24	1.42	6576170	37627352.00
2003/06/05	1.43	1.47	1.29	1.31	8320051	48256916.00
2003/06/06	1.28	1.33	1.21	1.22	5776829	32633960.00
2003/06/09	1.19	1.28	1.14	1.15	5091879	28348080.00
2003/06/11	1.21	1.38	1.18	1.34	7691547	43877464.00
2003/06/12	1.35	1.48	1.31	1.41	10581725	61759712.00
2003/06/13	1.44	1.48	1.36	1.40	4644503	27042528.00
2003/06/16	1.41	1.43	1.33	1.43	2646673	15299241.00
2003/06/17	1.43	1.47	1.37	1.38	3588690	20952618.00
2003/06/18	1.39	1.62	1.39	1.51	17432654	104077488.00
2003/06/19	1.51	1.55	1.36	1.43	9676573	56618716.00
2003/06/20	1.40	1.43	1.33	1.33	5088200	29471768.00
2003/06/23	1.31	1.38	1.29	1.32	3375114	19324468.00
2003/06/24	1.33	1.55	1.31	1.50	10206236	59906072.00
2003/06/25	1.52	1.52	1.35	1.40	6190972	36101916.00
2003/06/26	1.38	1.49	1.29	1.48	7959014	46329144.00
2003/06/27	1.46	1.47	1.33	1.34	5905401	34205496.00
2003/06/30	1.33	1.39	1.28	1.30	4465155	25497292.00
2003/07/01	1.29	1.40	1.23	1.27	5384717	30749504.00
2003/07/02	1.27	1.35	1.21	1.34	4448453	25220872.00
2003/07/03	1.33	1.35	1.27	1.33	2376718	13562356.00
2003/07/04	1.33	1.39	1.28	1.39	3968107	22834754.00
2003/07/07	1.41	1.44	1.33	1.41	3478951	20215140.00
2003/07/08	1.43	1.50	1.42	1.43	5883315	34572168.00
2003/07/09	1.43	1.45	1.32	1.34	3850537	22174640.00
2003/07/10	1.33	1.55	1.32	1.49	13729900	80993976.00
2003/07/11	1.52	1.72	1.48	1.60	19967107	120574400.00
2003/07/14	1.59	1.68	1.58	1.61	7919775	47974192.00
2003/07/15	1.62	1.67	1.53	1.65	6901689	41620180.00
2003/07/16	1.65	1.76	1.63	1.73	13065441	80249120.00
2003/07/17	1.75	1.85	1.68	1.70	14597100	90915864.00
2003/07/18	1.70	1.74	1.53	1.54	13318200	80773424.00
2003/07/21	1.50	1.63	1.47	1.62	9811129	58605304.00
2003/07/22	1.65	1.70	1.53	1.66	5836450	35252672.00
2003/07/23	1.68	1.73	1.60	1.73	7438655	45534900.00
2003/07/24	1.73	1.83	1.68	1.70	12180763	75876144.00
2003/07/25	1.69	1.78	1.53	1.61	9879899	59793812.00
2003/07/28	1.58	1.64	1.55	1.58	4099606	24583028.00
2003/07/29	1.58	1.61	1.52	1.55	4122837	24583758.00
2003/07/30	1.53	1.58	1.49	1.54	2875437	17073908.00
2003/07/31	1.54	1.58	1.50	1.54	1867894	11127231.00
2003/08/01	1.54	1.65	1.52	1.62	4759290	28582920.00
2003/08/04	1.63	1.70	1.59	1.68	4944867	30114416.00
2003/08/05	1.70	1.70	1.63	1.64	2577606	15657446.00
2003/08/06	1.63	1.69	1.59	1.61	2671964	16156535.00
2003/08/07	1.63	1.75	1.61	1.71	8315262	51068716.00
2003/08/08	1.71	1.73	1.51	1.53	6035195	36274556.00
2003/08/11	1.52	1.56	1.48	1.56	3913362	23185580.00
2003/08/12	1.56	1.58	1.51	1.53	1889390	11248423.00
2003/08/13	1.55	1.57	1.38	1.38	6253819	36390380.00
2003/08/14	1.38	1.43	1.29	1.32	5189865	29705600.00
2003/08/15	1.30	1.35	1.29	1.33	2526102	14351802.00
2003/08/18	1.33	1.35	1.31	1.33	1857095	10584485.00
2003/08/19	1.34	1.42	1.33	1.38	1749265	10060197.00
2003/08/20	1.38	1.39	1.21	1.27	2671832	15033528.00
2003/08/21	1.27	1.28	1.17	1.19	3016771	16746963.00
2003/08/22	1.19	1.25	1.18	1.23	1286902	7160889.00
2003/08/25	1.23	1.23	1.03	1.06	2642795	14282530.00
2003/08/26	1.07	1.12	0.98	1.11	1854117	9949870.00
2003/08/27	1.11	1.12	1.03	1.05	1338532	7203087.00
2003/08/28	1.05	1.13	1.05	1.07	1894093	10247181.00
2003/08/29	1.05	1.13	1.02	1.11	1651295	8899033.00
2003/09/01	1.11	1.27	1.08	1.25	3200648	17724416.00
2003/09/02	1.25	1.28	1.17	1.18	2607615	14480791.00
2003/09/03	1.17	1.21	1.13	1.18	1477351	8111105.00
2003/09/04	1.19	1.20	1.13	1.13	1639701	9001957.00
2003/09/05	1.13	1.16	0.98	1.03	3008025	16094689.00
2003/09/08	1.01	1.03	0.94	0.96	2630569	13819160.00
2003/09/09	0.96	1.00	0.88	0.96	2437835	12740911.00
2003/09/10	0.95	0.99	0.92	0.98	1069458	5614292.00
2003/09/11	0.97	1.06	0.95	1.05	2799782	14916758.00
