600015 华夏银行 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/09/12	0.39	0.44	0.26	0.28	480212288	3516635904.00
2003/09/15	0.26	0.32	0.25	0.32	95884884	687931072.00
2003/09/16	0.35	0.36	0.29	0.33	61922464	449853056.00
2003/09/17	0.33	0.33	0.28	0.30	36528096	263549904.00
2003/09/18	0.28	0.35	0.28	0.32	49335879	359097536.00
2003/09/19	0.33	0.35	0.29	0.32	32036592	232242240.00
2003/09/22	0.32	0.33	0.29	0.30	22624394	163131600.00
2003/09/23	0.30	0.36	0.29	0.35	72024640	527648384.00
2003/09/24	0.35	0.36	0.33	0.34	35390666	260142768.00
2003/09/25	0.34	0.35	0.31	0.31	24220907	176065728.00
2003/09/26	0.31	0.33	0.30	0.30	24739382	178919264.00
2003/09/29	0.30	0.31	0.28	0.29	24157056	173476080.00
2003/09/30	0.29	0.34	0.25	0.31	37613691	269491616.00
2003/10/08	0.30	0.32	0.29	0.30	10159077	73162248.00
2003/10/09	0.30	0.32	0.28	0.28	11537607	82936856.00
2003/10/10	0.28	0.35	0.26	0.33	49406364	358425248.00
2003/10/13	0.33	0.34	0.31	0.32	19934912	144968160.00
2003/10/14	0.31	0.33	0.28	0.30	15708662	113129896.00
2003/10/15	0.30	0.33	0.28	0.29	17325388	124757008.00
2003/10/17	0.28	0.31	0.26	0.28	15064521	107699848.00
2003/10/20	0.28	0.30	0.26	0.26	19442100	138249312.00
2003/10/21	0.26	0.27	0.20	0.22	38220838	267196000.00
2003/10/22	0.22	0.30	0.21	0.27	42126812	299329408.00
2003/10/23	0.27	0.30	0.25	0.25	27250361	194221408.00
2003/10/24	0.25	0.26	0.23	0.23	18730644	131496944.00
2003/10/27	0.23	0.25	0.20	0.22	11883767	82800736.00
2003/10/28	0.21	0.26	0.21	0.26	19707096	138458704.00
2003/10/29	0.27	0.30	0.23	0.29	44138957	314660416.00
2003/10/30	0.29	0.29	0.25	0.26	17258160	122804096.00
2003/10/31	0.26	0.30	0.26	0.29	26315223	188600064.00
2003/11/03	0.30	0.32	0.28	0.31	31486683	226870000.00
2003/11/04	0.34	0.42	0.32	0.36	66411705	468550144.00
2003/11/05	0.36	0.39	0.36	0.37	31386210	221772400.00
2003/11/06	0.37	0.38	0.33	0.34	30651432	214055936.00
2003/11/07	0.33	0.34	0.28	0.28	35784247	244948624.00
2003/11/10	0.25	0.28	0.22	0.26	23034872	154220784.00
2003/11/11	0.26	0.28	0.23	0.25	15175478	101667544.00
2003/11/12	0.24	0.24	0.15	0.15	30452082	197250192.00
2003/11/13	0.15	0.17	0.13	0.15	16544438	105910424.00
2003/11/14	0.18	0.22	0.17	0.18	17675293	115514424.00
2003/11/17	0.18	0.19	0.15	0.15	8777568	56634184.00
2003/11/18	0.15	0.15	0.11	0.12	12792903	81284960.00
2003/11/19	0.11	0.18	0.10	0.16	17037352	109008168.00
2003/11/20	0.15	0.23	0.14	0.21	30762916	201472768.00
2003/11/21	0.22	0.26	0.17	0.18	28199775	186256832.00
2003/11/24	0.16	0.25	0.16	0.24	25572575	169179792.00
2003/11/25	0.26	0.33	0.23	0.27	54981053	375339104.00
2003/11/26	0.27	0.30	0.24	0.28	21409993	144842256.00
2003/11/27	0.28	0.29	0.21	0.22	19396734	129575376.00
2003/11/28	0.22	0.24	0.21	0.22	10063760	66770388.00
2003/12/01	0.22	0.31	0.22	0.29	27149221	184259936.00
2003/12/02	0.31	0.31	0.26	0.27	18472346	125102320.00
2003/12/03	0.27	0.32	0.23	0.28	29883043	202512320.00
2003/12/04	0.28	0.36	0.28	0.33	58898452	408553568.00
2003/12/05	0.34	0.36	0.31	0.33	23197561	161236560.00
2003/12/08	0.34	0.35	0.29	0.30	16622920	114862344.00
2003/12/09	0.29	0.30	0.25	0.28	16251955	110160568.00
2003/12/10	0.35	0.42	0.32	0.34	49317778	345163872.00
2003/12/11	0.36	0.39	0.34	0.36	54132319	381908736.00
2003/12/12	0.38	0.45	0.36	0.42	90482311	651177600.00
2003/12/15	0.44	0.46	0.42	0.42	44508546	323166688.00
2003/12/16	0.42	0.42	0.36	0.41	36436009	259498096.00
2003/12/17	0.41	0.44	0.37	0.38	27870325	199763264.00
2003/12/18	0.37	0.41	0.37	0.41	23528075	167190384.00
2003/12/19	0.41	0.43	0.35	0.41	37383106	266148688.00
2003/12/22	0.40	0.52	0.36	0.52	76969440	561780096.00
2003/12/23	0.53	0.59	0.50	0.55	80464632	610172288.00
2003/12/24	0.57	0.64	0.56	0.61	74386152	577546752.00
2003/12/25	0.62	0.64	0.58	0.60	54164914	419682048.00
2003/12/26	0.60	0.62	0.57	0.59	33777271	260193392.00
2003/12/29	0.57	0.59	0.54	0.54	27885881	212052384.00
2003/12/30	0.55	0.60	0.55	0.57	27718842	212839856.00
2003/12/31	0.58	0.64	0.56	0.57	29029621	224509664.00
2004/01/02	0.57	0.64	0.55	0.60	24884478	192846720.00
2004/01/05	0.60	0.75	0.59	0.75	63065547	506083200.00
2004/01/06	0.76	0.89	0.76	0.83	86404511	724103040.00
2004/01/07	0.83	0.93	0.81	0.87	65267093	555279424.00
2004/01/08	0.87	0.90	0.83	0.88	39612900	336241376.00
2004/01/09	0.88	0.90	0.74	0.76	56751900	476202784.00
2004/01/12	0.75	0.85	0.74	0.85	44139049	365012000.00
2004/01/13	0.86	0.90	0.78	0.83	43643954	369277440.00
2004/01/14	0.83	0.83	0.74	0.76	28648301	235822800.00
2004/01/15	0.82	0.83	0.75	0.76	23850988	197015888.00
2004/01/16	0.77	0.80	0.76	0.80	20203231	166992768.00
2004/01/29	0.80	0.85	0.77	0.83	22413476	186497344.00
2004/01/30	0.83	0.83	0.69	0.69	36260327	296099232.00
2004/02/02	0.73	0.82	0.72	0.76	49831946	409249440.00
2004/02/03	0.76	0.82	0.73	0.79	31992628	264676384.00
2004/02/04	0.80	0.88	0.80	0.86	45809831	387667968.00
2004/02/05	0.88	0.94	0.85	0.88	46449189	398887840.00
2004/02/06	0.87	0.95	0.81	0.85	48454327	412927296.00
2004/02/09	0.83	0.89	0.82	0.88	23585612	200414224.00
2004/02/10	0.89	0.92	0.83	0.84	32946191	279852192.00
2004/02/11	0.83	0.86	0.77	0.79	32896201	273499776.00
2004/02/12	0.79	0.84	0.75	0.76	25941544	213960624.00
2004/02/13	0.76	0.80	0.73	0.76	21260626	174422432.00
2004/02/16	0.76	0.84	0.75	0.84	25093497	208148368.00
2004/02/17	0.85	0.86	0.81	0.81	38828718	327481056.00
2004/02/18	0.81	0.84	0.77	0.80	41101597	340868576.00
2004/02/19	0.80	0.82	0.74	0.77	36394306	299227744.00
2004/02/20	0.77	0.84	0.75	0.80	30762681	255521984.00
2004/02/23	0.80	0.80	0.68	0.69	51270300	414896192.00
2004/02/24	0.66	0.68	0.58	0.64	42564303	331979104.00
2004/02/25	0.64	0.67	0.56	0.57	27111653	210621792.00
2004/02/26	0.56	0.59	0.53	0.59	26065812	198529840.00
2004/02/27	0.61	0.62	0.57	0.59	18439491	142063808.00
2004/03/01	0.59	0.61	0.52	0.60	20237364	154198080.00
2004/03/02	0.63	0.65	0.60	0.62	20645743	161133376.00
2004/03/03	0.62	0.64	0.56	0.59	14009286	107898040.00
2004/03/04	0.62	0.62	0.56	0.62	12980694	100238120.00
2004/03/05	0.62	0.63	0.57	0.58	9232980	71198832.00
2004/03/08	0.57	0.58	0.47	0.48	20653559	154317312.00
2004/03/09	0.48	0.51	0.47	0.48	13333223	98649944.00
2004/03/10	0.49	0.57	0.48	0.56	15175789	113827896.00
2004/03/12	0.57	0.58	0.52	0.54	12534792	94859736.00
2004/03/15	0.54	0.63	0.53	0.62	27791068	214876752.00
2004/03/16	0.62	0.64	0.59	0.62	19935881	155343056.00
2004/03/17	0.62	0.67	0.61	0.65	23114827	181208976.00
2004/03/18	0.66	0.68	0.58	0.59	17988661	140764576.00
2004/03/19	0.59	0.62	0.57	0.62	10496566	81016432.00
2004/03/22	0.62	0.67	0.59	0.64	12546225	98172560.00
2004/03/23	0.62	0.64	0.59	0.60	10541303	81510792.00
2004/03/24	0.59	0.59	0.55	0.56	13600093	103839624.00
2004/03/25	0.56	0.62	0.56	0.59	7687161	59011576.00
2004/03/26	0.59	0.60	0.55	0.56	13953791	106290448.00
2004/03/29	0.62	0.62	0.57	0.57	20403700	157490480.00
2004/03/30	0.58	0.60	0.56	0.57	11215805	85660256.00
2004/03/31	0.58	0.61	0.57	0.60	10367109	79890008.00
2004/04/01	0.59	0.64	0.59	0.63	15961670	124611664.00
2004/04/02	0.63	0.64	0.62	0.63	14509754	113373896.00
2004/04/05	0.63	0.64	0.59	0.60	14608030	113226184.00
2004/04/06	0.60	0.63	0.58	0.63	13290456	102816240.00
2004/04/07	0.63	0.63	0.60	0.61	11322010	87752264.00
2004/04/08	0.61	0.61	0.58	0.58	12044617	92540288.00
2004/04/09	0.58	0.60	0.53	0.54	13723389	104230456.00
2004/04/12	0.52	0.52	0.47	0.49	13422806	99580392.00
2004/04/13	0.58	0.58	0.40	0.49	11427664	85410984.00
2004/04/14	0.48	0.49	0.41	0.43	16256739	118008176.00
2004/04/15	0.44	0.47	0.42	0.43	12003794	87191200.00
2004/04/16	0.44	0.46	0.41	0.45	8871503	64243832.00
2004/04/19	0.44	0.45	0.40	0.41	7431474	53610828.00
2004/04/20	0.40	0.45	0.39	0.43	7789046	56251112.00
2004/04/21	0.43	0.47	0.41	0.44	10463334	76059856.00
2004/04/22	0.44	0.47	0.44	0.46	6530261	47675712.00
2004/04/23	0.46	0.46	0.42	0.42	5153900	37289876.00
2004/04/26	0.41	0.44	0.39	0.41	5469571	39254764.00
2004/04/27	0.43	0.44	0.41	0.41	5782502	41722872.00
2004/04/29	0.45	0.49	0.43	0.45	17587731	128936736.00
2004/04/30	0.49	0.49	0.44	0.47	9647884	70853128.00
2004/05/10	0.48	0.48	0.40	0.41	5388121	38937352.00
2004/05/11	0.40	0.45	0.40	0.44	4035976	29138526.00
2004/05/12	0.44	0.48	0.42	0.47	6617987	48453728.00
2004/05/13	0.47	0.48	0.45	0.46	4348594	31829952.00
2004/05/14	0.45	0.45	0.41	0.42	5392476	38953556.00
2004/05/17	0.42	0.44	0.40	0.42	4917813	35424120.00
