600051 宁波联合 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2018/01/02	9.32	9.44	9.28	9.42	2581313	24542378.00
2018/01/03	9.42	9.50	9.38	9.46	2258504	21618996.00
2018/01/04	9.45	9.51	9.42	9.49	1745781	16762870.00
2018/01/05	9.50	9.64	9.43	9.60	2561567	24793600.00
2018/01/08	9.58	9.63	9.54	9.62	1894237	18429930.00
2018/04/26	8.84	8.84	8.65	8.65	19688600	173194272.00
2018/04/27	8.28	8.43	7.77	7.77	17774589	144179024.00
2018/05/02	7.72	7.87	7.64	7.79	5346859	42263828.00
2018/05/03	7.78	7.84	7.61	7.66	4112177	32155060.00
2018/05/04	7.65	7.70	7.45	7.51	5093619	39126828.00
2018/05/07	7.52	7.60	7.49	7.59	3062878	23571182.00
2018/05/08	7.60	7.62	7.52	7.61	3232248	24910930.00
2018/05/09	7.59	7.62	7.55	7.60	2721692	20985588.00
2018/05/10	7.60	7.62	7.54	7.59	2679075	20654134.00
2018/05/11	7.59	7.63	7.54	7.60	2893679	22333694.00
2018/05/14	7.60	7.66	7.58	7.64	3263367	25317444.00
2018/05/15	7.63	7.74	7.58	7.69	2773695	21635126.00
2018/05/16	7.67	7.70	7.53	7.55	2195217	16993524.00
2018/05/17	7.57	7.63	7.53	7.56	1739137	13390007.00
2018/05/18	7.56	7.60	7.53	7.59	1690289	13020500.00
2018/05/21	7.62	7.70	7.61	7.69	2932243	22824992.00
2018/05/22	7.69	7.70	7.60	7.66	2327999	18089580.00
2018/05/23	7.65	7.65	7.58	7.59	1676520	12984885.00
2018/05/24	7.60	7.60	7.52	7.57	1556800	11977607.00
2018/05/25	7.53	7.56	7.41	7.42	1941563	14775151.00
2018/05/28	7.41	7.42	7.27	7.28	1956979	14593484.00
2018/05/29	7.31	7.53	7.27	7.37	3015431	22629996.00
2018/05/30	7.29	7.30	7.03	7.06	2506784	18313890.00
2018/05/31	7.12	7.19	7.08	7.15	1675597	12194039.00
2018/06/01	7.12	7.21	6.97	7.15	3610836	26013764.00
2018/06/04	7.10	7.14	7.08	7.11	1448354	10485121.00
2018/06/05	7.10	7.63	7.08	7.60	5422459	40571540.00
2018/06/06	7.48	7.78	7.43	7.74	5415433	41949564.00
2018/06/07	7.68	7.77	7.63	7.70	2302578	18053792.00
2018/06/08	7.69	7.69	7.53	7.64	2029209	15694827.00
2018/06/11	7.56	7.76	7.35	7.66	2752578	21137652.00
2018/06/12	7.59	7.69	7.50	7.66	1978100	15298433.00
2018/06/13	7.60	7.66	7.55	7.58	1515764	11720362.00
2018/06/14	7.59	7.65	7.49	7.62	2669955	20607456.00
2018/06/15	7.62	7.62	7.03	7.56	4973438	37985576.00
2018/06/19	7.50	7.57	6.79	7.01	4908150	36038864.00
2018/06/20	6.95	6.95	6.30	6.30	12972402	85357936.00
2018/06/21	6.17	6.31	5.98	6.06	6636801	41649964.00
2018/06/22	5.92	6.13	5.92	6.10	3053179	18800148.00
2018/06/25	6.12	6.16	6.00	6.01	1895843	11787860.00
2018/06/26	5.93	6.05	5.87	6.01	2484168	15208863.00
2018/06/27	6.01	6.08	5.98	6.04	2162806	13303042.00
2018/06/28	6.02	6.10	5.91	5.93	4596902	28221070.00
2018/06/29	5.93	6.12	5.92	6.11	3091640	19067212.00
2018/07/02	6.08	6.15	5.90	5.96	2399700	14798215.00
2018/07/03	5.97	6.10	5.93	6.09	2124498	13046255.00
2018/07/04	6.08	6.08	5.95	5.98	1613375	9896645.00
2018/07/05	5.98	6.05	5.87	5.92	2161875	13219665.00
2018/07/06	5.96	6.05	5.88	5.99	1900500	11346991.00
2018/07/09	6.02	6.08	5.99	6.07	1248586	7553772.00
2018/07/10	6.08	6.13	6.05	6.12	1390500	8467448.00
2018/07/11	6.08	6.08	5.82	5.90	2065500	12254650.00
2018/07/12	5.86	6.08	5.86	6.05	2453020	14717040.00
2018/07/13	6.05	6.11	6.03	6.10	2051601	12456784.00
2018/07/16	6.10	6.14	6.06	6.09	1700902	10353639.00
2018/07/17	6.11	6.11	6.05	6.10	1753900	10658858.00
2018/07/18	6.11	6.26	6.09	6.15	2929944	18078424.00
2018/07/19	6.13	6.24	6.06	6.08	2245457	13775047.00
2018/07/20	6.05	6.16	6.02	6.14	1804958	11038509.00
2018/07/23	6.14	6.21	6.10	6.20	2337082	14424336.00
2018/07/24	6.17	6.39	6.17	6.35	2865435	18065928.00
2018/07/25	6.36	6.64	6.33	6.57	4522507	29453540.00
2018/07/26	6.57	6.69	6.45	6.68	3690235	24301586.00
2018/07/27	6.67	6.69	6.52	6.52	2617961	17247366.00
2018/07/30	6.50	6.56	6.41	6.47	2500137	16160853.00
2018/07/31	6.45	6.49	6.39	6.45	1666401	10737467.00
2018/08/01	6.47	6.48	6.35	6.36	1613552	10345233.00
2018/08/02	6.28	6.35	6.06	6.16	2775546	17095684.00
2018/08/03	6.16	6.30	6.15	6.27	1726081	10747523.00
2018/08/06	6.23	6.25	6.10	6.10	1504956	9283848.00
2018/08/07	6.17	6.33	6.16	6.25	2984429	18596224.00
2018/08/08	6.21	6.33	6.13	6.17	1584712	9831059.00
2018/08/09	6.18	6.25	6.09	6.21	2634900	16340589.00
2018/08/10	6.21	6.32	6.21	6.31	2526815	15829022.00
2018/08/13	6.25	6.27	6.10	6.25	1735900	10764731.00
2018/08/14	6.27	6.35	6.26	6.31	1824779	11499585.00
2018/08/15	6.35	6.35	6.19	6.20	1368300	8562808.00
2018/08/16	6.17	6.24	6.14	6.20	1301200	8053043.00
2018/08/17	6.23	6.25	6.13	6.19	2652602	16385090.00
2018/08/20	6.18	6.24	6.14	6.20	1006311	6221279.00
2018/08/21	6.17	6.28	6.16	6.26	1097335	6845104.00
2018/08/22	6.26	6.26	6.15	6.18	915490	5690340.00
2018/08/23	6.23	6.24	6.18	6.22	777797	4829515.00
2018/08/24	6.22	6.23	6.18	6.18	775601	4810684.00
