600022 山东钢铁 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/01/02	1.28	1.28	1.27	1.28	6381090	10601134.00
2014/01/03	1.28	1.28	1.26	1.28	6131708	10102942.00
2014/01/06	1.27	1.27	1.24	1.25	7629186	12359956.00
2014/01/07	1.25	1.25	1.23	1.24	6174555	9927966.00
2014/01/08	1.24	1.25	1.22	1.23	6630809	10630912.00
2014/01/09	1.23	1.23	1.20	1.21	9599100	15194962.00
2014/01/10	1.20	1.21	1.19	1.20	7852231	12237856.00
2014/01/13	1.19	1.22	1.19	1.20	8358279	13082421.00
2014/01/14	1.20	1.22	1.19	1.22	7202509	11283594.00
2014/01/15	1.22	1.22	1.20	1.21	5708530	8957633.00
2014/01/16	1.21	1.22	1.20	1.21	7469045	11721940.00
2014/01/17	1.21	1.21	1.18	1.18	8154158	12664575.00
2014/01/20	1.19	1.19	1.18	1.18	5209939	8019373.00
2014/01/21	1.18	1.20	1.18	1.19	6116285	9475990.00
2014/01/22	1.19	1.22	1.18	1.22	9311119	14644451.00
2014/01/23	1.22	1.22	1.21	1.21	5006990	7892118.00
2014/01/24	1.21	1.22	1.20	1.22	7175494	11326688.00
2014/01/27	1.22	1.22	1.21	1.22	5970090	9420187.00
2014/01/28	1.22	1.23	1.22	1.22	8914295	14167885.00
2014/01/29	1.22	1.23	1.22	1.22	9689579	15391562.00
2014/01/30	1.22	1.22	1.21	1.22	6112018	9670368.00
2014/02/07	1.22	1.23	1.21	1.23	7317494	11624161.00
2014/02/10	1.23	1.25	1.22	1.25	12872533	20803692.00
2014/02/11	1.25	1.27	1.24	1.25	14104818	22977310.00
2014/02/12	1.25	1.26	1.24	1.25	10808669	17577384.00
2014/02/13	1.25	1.26	1.24	1.25	13023763	21193574.00
2014/02/14	1.25	1.26	1.25	1.26	9442145	15370780.00
2014/02/17	1.26	1.28	1.25	1.28	16478127	27046050.00
2014/02/18	1.27	1.28	1.25	1.25	10984475	17979392.00
2014/02/19	1.25	1.27	1.25	1.27	13143641	21543014.00
2014/02/20	1.27	1.29	1.26	1.28	24187099	40166272.00
2014/02/21	1.27	1.28	1.25	1.25	10990447	17981690.00
2014/02/24	1.25	1.25	1.22	1.23	10710101	17060150.00
2014/02/25	1.22	1.23	1.20	1.22	11589010	18350440.00
2014/02/26	1.21	1.22	1.19	1.22	7515711	11776920.00
2014/02/27	1.22	1.22	1.20	1.21	12164314	19158336.00
2014/02/28	1.21	1.22	1.20	1.22	9419294	14786584.00
